"text","usa","ID"
"BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic Build Back Better Bill because it will add to the deficit. RT IF YOU THINK WE SHOULD NEVER LISTEN TO BILLIONAIRES ABOUT WHAT'S BEST FOR AMERICA!","yes",1
"John Lennon was assassinated 41 years ago today by a man who flew from Hawaii to New York with a handgun in his suitcase. He shot Lennon five times with hollow-point bullets. Since then, over 1.5 million people in America have been shot and killed - many more wounded.

Imagine… https://t.co/eL33CAg8dK","yes",2
"When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, despite big profits, the company is trying to break their strike by bringing in permanent replacements and sending 275 jobs to Mexico. Let's stand with the workers.","yes",3
"RT @DrEricDing: ⚠️OBESITY &amp; #COVID—Now researchers demonstrate #SARSCoV2 infects both fat cells &amp; certain immune cells within body fat, pro…","yes",4
"Oh my god, the yellow haired kid referenced other cartoons?! Thats so fucking cringe, guys! not in my america.... https://t.co/kj4kQPt8ic","yes",5
"@poshboyjirachi @imasquarifyu @sushisentral Does that mean americas better by any means? Fuck no america is fucking garbage n i’d rather live in germany myself but how are we going to debate over this topic when we all know the truth of what it really is its that this world as a whole is a trash can on fire","yes",6
"RT @coolzonemedia: All 8 episodes of our new podcast The Assault on America are out today! Listen now wherever you get your podcasts 🇺🇸

@I…","yes",7
"Protect America https://t.co/rqdeia1l5m via @YouTube","yes",8
"RT @SomosAmerica: Voy a rifar el jersey de local del Club América el 31 de diciembre entre todos los que den RT y FAV a este tweet. El gana…","yes",9
"RT @miiniyoongs: [211208 V Weverse Comment]

💜 taetae while you were in america have your english skills improved?

🐻 i think only my pronu…","yes",10
"RT @chicklette_: as scott peterson is trending your friendly reminder that the number one cause of death for pregnant women in america is d…","yes",11
"RT @POTUS: Since I took office in January, we’ve had the fastest drop in unemployment in a single year — and the most jobs added in the fir…","yes",12
"@KibaInuKiba Let me tell you, the black americans behind this coin scam cannot be trusted if you want them to withdraw all your money. After all the evil that black people have done to America. Don't let your money be lost foolishly, shit Black scam https://t.co/pWeann1Bqn","yes",13
"RT @realArmandKlein: Pres.Donald Trump on Tuesday lashed out at Senate Min.Leader Mitch McConnell @GOP Senators as House Democrats moved to…","yes",14
"RT @HerbertEsmahan: La falta de liderazgo de la administración Biden no solo perjudica a los Estados Unidos de América y a sus ciudadanos,…","yes",15
"@ashh_jordan @doioweyoumoney Nope.
All they need to know is job relevance.
It's like them hitting my FB or Twitter and asking me about _____.
Do they ask about my cancer history?
I should not be the one to train corporate America that ""NUNYA"" means ""Don't even effen ask.""","yes",16
"RT @ACTBrigitte: I am sick and tired of establishment Republicans who promise to be tough until they're in power.

It's time for a new gene…","yes",17
"RT @SenTedCruz: America’s adversaries were emboldened by President Biden’s surrender to the Taliban.
 
Russia threatening to invade Ukraine…","yes",18
"@TampaDE @AOC So sub Saharan Africa is developed?  Like America, Canada, France, Germany, England?","yes",19
"RT @MsAvaArmstrong: ""If fascism ever comes to America, it will come in the name of liberalism."" - Ronald Reagan","yes",20
"@Awknddragn @MfromPa @Frenchy_Nerd @MommyHouse4 @January6thCmte .@marceelias 
I guess he's the best we've got.
And maybe he'll win the presidency in 2029 and America will never be in any danger of losing its democracy ever again...if he runs.","yes",21
"@tedcruz THE MAJORITY OF AMERICA ARE INVOKING THEIR RIGHT AND LIBERTY AND FREEDOM TO F**KING STAY ALIVE..SO THE GREAT UNWASHED UNVACCINATED IDIOTS CAN SUCK IT UP AND GET THEIR SHOTS...JESUS SAYS THOU SHALT NOT KILL...","yes",22
"RT @MsAvaArmstrong: ""If fascism ever comes to America, it will come in the name of liberalism."" - Ronald Reagan","yes",23
"RT @TheLeoTerrell: Mitch McConnell is selling out America! Time for him to resign!","yes",24
"RT @SebGorka: 52 Senators found a backbone tonight.

Just once. 

Biden’s illegal vaxx mandate for private companies is dead. 

God Bless A…","yes",25
"@aldofaiduttin Il gelato era la planta de helados más moderna de América loe Envases eran distintos y al salir por Durán había en la planta una heladería show room
#ilgelato Il Il gelato","yes",26
"RT @ACTBrigitte: I am sick and tired of establishment Republicans who promise to be tough until they're in power.

It's time for a new gene…","yes",27
"RT @NikkeiAsia: Take a look at Nikkei's research finding that regulatory pressures have hurt high-profile Chinese tech companies' market va…","yes",28
"Twitter just shut down one of the most influence conservative voices in America, and not to mention one of my closest friends. This is an outrage and unfortunate a sign of things to come. This guys gonna make Jack Dorsey look like a saint. https://t.co/lCv41jvcZ2","yes",29
"@DrOz Let's ignore the fact that this is a standard Journalism practice, where Candidates for Public office are addressed by their general Titles instead of Professional ones.

They are totally out to get you. But trying to be ethical.

Not hard to see where the problem is in America.","yes",30
"RT @EricMGarcia: Aaaand here we go 

https://t.co/AOdWYLTl3o","yes",31
"RT @KuuEater: joe biden addressing the nation with the biggest stiffest fucking tent in the world: America, I Am Better Now","yes",32
"RT @EricBoehlert: Carlson, Hannity and Ingraham all opened their shows tonight w/ Xmas tree fire 

it’s the most important news story in Am…","yes",33
"@elyrxc @AmericadeCali Copa Simón Bolívar 1976 P. jugados 3 P. ganados 2 P. empatados 0 P. perdidos 1Goles a favor 5 Goles en contra 3 Goleador Víctor Lugo (2) Consagración Estudiantes de Mérida 1 - América 2 2 de Marzo de 1976 Martes (Estadio Guillermo Soto Rosa de Mérida)Téc America Antonio D Acorsio","yes",34
"RT @favianemily: A $200 Million, 2 yr modern day slave trade was uncovered in Georgia. Migrants from Mexico and Central America were forced…","yes",35
"RT @pr2vk2fkj4: @Becauseofthem Black doctors and, particularly, Black women doctors are pivotal. Who else is more attuned to the unique hea…","yes",36
"RT @SebGorka: 52 Senators found a backbone tonight.

Just once. 

Biden’s illegal vaxx mandate for private companies is dead. 

God Bless A…","yes",37
"RT @TheRightMelissa: BREAKING: Mike Lindell is suing voting systems company, Smartmatic after they defamed &amp; tried to silence him. They are…","yes",38
"RT @EmbamexJP: El Secretario @m_ebrard clausuró los trabajos de la primera conferencia regional de #STSforum forum para América Latina y el…","yes",39
"RT @ChuckCallesto: BREAKING REPORT: Senator Ron Johnson SLAMS FAUCI, says MANY AMERICANS DIED from Covid because America's doctor ‘SABOTAGE…","yes",40
"RT @MarshallCohen: DOJ just unsealed charges against Jan. 6 rioter Thomas Conover of Texas. Prosecutors say he drank a beer while storming…","yes",41
"RT @GordonGChang: Kick out every single #CCP agent from #America. #China","yes",42
"RT @BernieSanders: When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, desp…","yes",43
"RT @mercola: “The occurrence and frequency of vaccine-resistant mutations correlate strongly with the vaccination rates in Europe and Ameri…","yes",44
"RT @coscuzeko: Neymar no solo perdió la copa america, sino que ahora también la wacha https://t.co/Em8JdNKNhR","yes",45
"RT @MarleyK20: America can fast track everything but something for Black people.","yes",46
"RT @RSBNetwork: Statement by Donald J. Trump, 45th President of the United States of America https://t.co/lSifyUuj5z","yes",47
"RT @brattykv: taehyung said he can’t do long distance relationships no wonder he’s like this when he’s in america and jungkook’s in korea","yes",48
"RT @BernieSanders: When Kellogg's employees worked 7 days a week during the pandemic to feed America they were called ""heroes."" Today, desp…","yes",49
"RT @RobertRATurner1: On this day in 1865 Georgia became the 27th state to ratify the 13th Amendment giving the law enough states to make sl…","yes",50
"RT @OdiameMas1916: Ojalá vuelva Rubens Sambueza al América y se retire en su casa… https://t.co/jv6TEpIZ0u","yes",51
"RT @SomosAmerica: Voy a rifar el jersey de local del Club América el 31 de diciembre entre todos los que den RT y FAV a este tweet. El gana…","yes",52
"RT @Storace: Una #pacca sul #sedere più grave dell'assassinio di un italiano in America e dello #stupro di due ragazze...

https://t.co/lRa…","yes",53
"@CoriBush @IlhanMN The squad needs removed from office! Anti America rhetoric saying things like some thing happend on 9/11, etc. They show their hatred for America and divide just like you!  All should be removed from office as you don't support America!","yes",54
"RT @stevie_mat: Oh honey....John Kellogg was a eugenicist who created cereal to keep white America from getting fat so they could outlive A…","yes",55
"God Bless America - Celine Dion https://t.co/oc0c9A0bB6 via @YouTube","yes",56
"@JackPosobiec @CarnivoreGypsy Trump lied. America died.","yes",57
"RT @Ramboide21: @Cartagoxx_II Os recomiendo ver la serie ""Continuum"", tardó en llegar aquí, estuvo en Netflix en América, ha pasado desaper…","yes",58
"@WakeUpNotwoke @libsoftiktok don't get it twisted, racism and white supremacy is alive in america and deserves to be addressed. But if someone is criticizing white people, and you don't feel it applies to you, then it doesn't. ""if it doesn't apply, don't reply"".","yes",59
"RT @butchanarchy: If 1 in 4 adults in America truly are estranged from their families it is due to the fact that we have normalized a cultu…","yes",60
"Unlike the United State of America:

China, which is 350 miles wider than the U.S., has only time zone for the entire country. The entire country has the same lunch break (siesta), so it's readily apparent when the English-speaking propagandists logout. https://t.co/2J3saAN9eQ","yes",61
"RT @JoseValdezSV: Estados Unidos siempre ha creído en la Doctrina Monroe, ellos creen que América Latina les pertenece…

Ellos derrocan Gob…","yes",62
"RT @AlejoSerafino: Festejen, bosteros. Festejen ser el equipo que más veces ganó la Copa Argentina. Festejen ser el club con más copas naci…","yes",63
"RT @genara_morris: @jeffreyWkatz @AttorneyCrump Never forget Emmitt Till who never had a chance to prove his innocence. Trayvon Martin, Tam…","yes",64
"RT @BubblesToBurst: America’s military will destroy America as much as its enemies by hastening the destruction of the planet’s ecosystem.","yes",65
"#NowPlaying AyO Caribe, Sur y Centro América by bb","yes",66
"@MuseZack It was the pharma ads on TV that was one of the biggest culture shocks when I visited America","yes",67
"RT @Milenio: OPS alerta aumento de casos de covid en México tras llegada de ómicron 
https://t.co/zQUNcVZlZL https://t.co/tOe7XMQAU6","yes",68
"RT @BoughtTheSwamp: This is the woke “one“ that WON’T mind going full Nazi on America. 

Obama selected her for that very reason and we all…","yes",69
"https://t.co/psPdvh7pmN

https://t.co/3b25wJ3Ge5","yes",70
"@TuckerCarlson SUGGESTION TUCK
WATCH RACHEL MADDOW AND OTHERS ON MSNBC AND CNN TO BE EDUCATED ON HISTORY AND CIVICS AND LAW AND SCIENCE.
EVIDENTLY YOU DID NOT DO WELL IN THOSE CLASSES OR CAN'T READ OR HEAR.
GOD BLESS AMERICA AND I WILL 🙏 PRAY FOR YOU AND YOUR PARTY. https://t.co/c9taPzbYgi","yes",71
